V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20
30,15,10	25,22,9	25,21,8	25,22,8	25,22,10	25,21,9	25,23,9	25,23,10	25,21,7	24,23,10	25,20,8	25,20,7	24,22,9	24,23,9	25,22,7	25,23,8	24,22,10	24,23,11	25,20,9	24,21,9	26,22,8
37,27,13	32,33,19	31,33,20	32,32,20	31,33,19	32,33,20	32,31,20	33,31,20	33,32,19	31,32,20	33,32,20	32,32,19	33,30,20	30,34,19	32,31,21	32,30,21	31,32,21	31,31,21	33,31,19	32,33,18	32,30,20
12,10,27	11,8,25	11,9,26	11,7,24	11,10,26	11,10,27	11,11,27	12,7,25	11,9,25	12,6,24	11,12,28	12,12,29	11,7,25	11,6,24	11,11,28	11,6,23	11,8,24	12,8,25	11,5,23	11,13,28	11,12,27
18,10,8	12,18,11	12,18,10	11,19,12	12,19,11	12,18,12	12,17,9	13,18,9	12,19,10	12,19,12	12,18,9	11,19,13	13,18,10	13,18,8	13,17,9	13,17,8	13,19,9	13,19,10	11,20,12	13,16,9	12,18,13
23,28,18	23,29,18	23,28,19	23,30,18	23,27,19	23,28,18	23,29,19	23,31,17	23,27,20	23,26,20	23,31,18	23,30,17	23,32,17	22,26,20	22,30,18	22,27,19	22,29,18	22,28,19	22,27,20	23,33,16	22,25,21
23,26,9	18,33,18	18,34,18	18,32,19	18,32,18	18,31,19	18,33,17	17,33,17	18,33,19	17,33,18	17,32,18	18,30,19	19,32,19	19,33,18	18,31,18	18,30,20	19,34,18	18,31,20	19,33,19	19,31,19	18,29,20
21,11,22	21,12,18	21,13,18	21,11,18	21,14,18	21,12,17	21,14,19	21,13,19	21,10,18	21,15,19	21,13,17	21,12,19	21,15,18	20,13,18	22,12,18	20,12,18	20,14,18	20,14,19	20,15,19	20,10,17	22,13,18
32,26,24	32,27,21	32,26,22	31,26,22	31,25,23	32,28,20	32,25,22	32,24,23	32,28,21	32,29,20	33,28,20	32,26,21	33,27,21	31,27,21	31,27,22	32,25,23	31,25,22	33,26,21	32,27,22	31,24,23	31,28,21
31,14,8	26,21,5	26,22,6	25,22,6	25,21,6	25,21,5	26,20,5	26,22,5	25,22,7	26,21,6	25,23,7	25,21,4	26,20,4	26,22,7	25,23,6	25,22,5	26,21,4	25,20,4	26,20,6	25,21,7	25,20,5
16,16,23	16,12,26	16,10,25	16,9,24	16,11,25	16,13,26	16,10,24	16,8,23	16,12,25	17,9,24	16,8,24	16,7,23	16,14,26	16,13,27	15,14,26	15,13,25	15,15,26	16,9,23	15,12,25	16,14,27	15,14,25
36,26,23	35,26,21	35,25,22	34,25,22	35,27,20	36,27,20	34,26,21	36,26,21	35,27,21	34,26,22	35,25,21	35,28,20	34,27,21	35,24,22	36,25,21	36,28,19	34,24,23	36,26,20	35,26,22	35,24,23	36,24,22
12,21,16	12,22,20	12,21,20	12,20,21	12,21,21	12,23,19	11,21,20	11,22,19	13,22,21	11,23,18	11,21,19	12,22,19	13,20,22	11,20,20	12,19,21	12,23,20	12,20,20	11,23,19	11,24,18	13,21,21	13,19,22
13,25,9	5,29,17	5,29,16	6,30,17	4,29,16	5,28,17	6,29,18	4,28,16	6,30,18	6,28,18	6,29,17	7,30,18	4,28,17	4,27,17	5,28,18	5,27,18	7,29,19	5,28,16	4,29,17	7,30,19	7,28,19
20,29,12	16,33,18	17,32,19	16,32,19	16,31,19	16,32,18	17,31,20	17,30,20	17,31,19	17,33,19	17,33,18	16,30,19	17,32,20	16,33,19	16,30,20	17,29,20	16,33,17	16,31,20	17,29,21	16,29,20	16,31,18
33,20,11	34,26,8	34,27,9	33,26,8	33,27,8	33,26,7	33,27,9	34,25,7	34,26,9	34,26,7	34,27,8	33,25,7	34,25,8	34,27,10	34,28,10	35,26,8	33,28,9	33,25,6	35,26,9	33,28,10	35,27,9
11,25,11	4,29,17	5,29,18	5,30,18	5,28,18	4,28,17	6,29,19	6,30,18	6,30,19	4,28,18	4,29,16	6,28,19	5,28,19	5,29,17	4,27,18	3,28,17	5,27,19	3,27,17	4,29,18	6,29,18	7,29,20
36,18,23	37,20,20	37,19,20	38,19,20	36,20,20	37,18,21	38,18,20	37,19,21	36,19,21	36,21,20	38,20,20	38,20,19	37,21,20	37,21,19	37,18,20	37,17,21	36,20,21	37,20,19	36,19,20	38,18,21	36,18,21
22,16,10	17,21,11	17,21,10	17,22,11	17,20,10	17,22,12	17,20,11	16,21,12	16,21,13	17,21,12	18,20,9	16,21,11	18,21,9	16,20,13	16,22,13	18,21,10	16,22,12	18,22,10	18,20,10	17,22,10	16,21,14
34,22,11	34,28,9	33,29,9	34,29,10	34,27,8	33,28,9	33,29,10	34,28,10	33,28,8	34,27,9	33,27,8	35,28,10	33,27,7	33,30,11	32,30,10	35,27,9	32,29,9	34,26,7	34,29,11	33,28,10	34,26,8
19,16,26	21,10,23	21,11,23	21,12,24	21,13,24	21,12,23	21,10,22	21,14,24	21,13,25	21,13,23	22,11,23	20,10,23	20,9,22	21,14,25	20,14,25	20,13,25	20,13,24	20,12,24	20,15,25	21,11,22	20,14,24
